Username,Full Name,City,Country,Followers,Following,Tracks,Joined SC,Years on SC,Verified,Pro,Profile URL,Unfollow?,Rank
Steve Aoki,Steve Aoki,Los Angeles,US,4182751,3,1651,,,Yes,free,https://soundcloud.com/steveaoki,keep,1
NCS,,,,1548864,650,1918,,,Yes,free,https://soundcloud.com/nocopyrightsounds,keep,2
Armin van Buuren,Armin van Buuren,Leiden,NL,1192845,2,2345,,,Yes,free,https://soundcloud.com/arminvanbuuren,keep,3
Monstercat,,Vancouver,CA,1141515,61,5098,,,Yes,free,https://soundcloud.com/monstercat,keep,4
David Morales,David Morales,New York,US,999400,10,553,,,Yes,free,https://soundcloud.com/davidmorales,keep,5
Boris Brejcha,Boris Brejcha,Frankfurt,DE,807445,7,587,,,Yes,free,https://soundcloud.com/boris-brejcha,keep,6
Dim Mak Records,,Los Angeles,,558319,170,1620,,,Yes,free,https://soundcloud.com/dimmakrecords,keep,7
Deorro,Panda Funk Family,West Covina,US,536699,3,284,,,Yes,free,https://soundcloud.com/deorro,keep,8
LUCKI,,Chicago,US,482778,0,380,,,Yes,free,https://soundcloud.com/boob7,keep,9
NGHTMRE,,"Los Angeles, CA",,456780,941,192,,,Yes,free,https://soundcloud.com/nghtmre,keep,10
SLANDER,,Los Angeles,,418696,424,147,,,Yes,free,https://soundcloud.com/slanderofficial,keep,11
Underworld,,"Romford, Essex",GB,413839,30,427,,,Yes,free,https://soundcloud.com/underworld,keep,12
deadmau5,,Toronto,CA,363913,3,381,,,Yes,free,https://soundcloud.com/deadmau5,keep,13
Anjunadeep,,London,,363720,122,2712,,,Yes,free,https://soundcloud.com/anjunadeep,keep,14
Joris Voorn,Joris Voorn,Amsterdam,NL,352773,79,802,,,Yes,free,https://soundcloud.com/joris-voorn,keep,15
Deborah De Luca,deborah de luca,napoli,IT,329304,33,565,,,Yes,free,https://soundcloud.com/deborahdeluca,keep,16
REZZ,,,,295002,366,145,,,Yes,free,https://soundcloud.com/official-rezz,keep,17
Future House Music,The best is yet to come..,,NL,285524,330,519,,,Yes,free,https://soundcloud.com/futurehousemusic,keep,18
Progressive Astronaut,,,HR,268173,739,2064,,,Yes,free,https://soundcloud.com/progressiveastronaut,keep,19
mau5trap,,,US,254270,289,733,,,Yes,free,https://soundcloud.com/mau5trap,keep,20
Boombox Cartel,,,,248156,2,213,,,Yes,free,https://soundcloud.com/boomboxcartel,keep,21
House Music With Love (HMWL),Your friendly Record Label & Music Channel,,SE,244794,2000,1653,,,Yes,free,https://soundcloud.com/hmwl,keep,22
When We Dip,,Montreal,,229739,1999,5547,,,Yes,free,https://soundcloud.com/when-we-dip,keep,23
Valentino Khan,Valentino Khan,Los Angeles,US,217619,91,168,,,Yes,free,https://soundcloud.com/valentinokhan,keep,24
Afro House & Tech House 🎧,"DJ Tools, Remixes, Edits, Mashups",Leeds,GB,193093,126,83,,,Yes,free,https://soundcloud.com/housemusic-district,keep,25
trndmsk,,,,192875,581,4055,,,Yes,free,https://soundcloud.com/trndmusik,keep,26
PARTY FAVOR,,└A,US,185609,493,149,,,Yes,free,https://soundcloud.com/partyfavor,keep,27
EDM Stream,#PLUR,,,168869,1985,11,,,Yes,free,https://soundcloud.com/edm-stream,keep,28
Sweet Music,www.sweetmusic.fr,,,159436,1219,2943,,,Yes,free,https://soundcloud.com/sweetmusicofc,keep,29
Felguk,Felguk,Rio de Janeiro,,147474,21,178,,,Yes,free,https://soundcloud.com/felguk,keep,30
Reinier Zonneveld,Reinier Zonneveld,Filth on Acid,NL,144688,7,381,,,Yes,free,https://soundcloud.com/reinier-zonneveld,keep,31
Atlantic Records UK,Atlantic Records UK,London,GB,132798,10,139,,,Yes,free,https://soundcloud.com/atlantic-records-uk,keep,32
KETTAMA (G-TOWN FOREVER),,G-TOWN,,131522,479,118,,,Yes,free,https://soundcloud.com/kettamabro,keep,33
